词库,词库名,分类,关卡,网格大小,难度,单词数,最小长度,最大长度,平均长度,单词列表,有特殊字符,错误
cet4,大学四级,考试,28,8,easy,4,4,4,4.0,GOAT|LOCK|KITE|PLOT,否,否
cet4,大学四级,考试,29,8,easy,4,4,4,4.0,ROAR|ROLL|TYRE|TAME,否,否
cet4,大学四级,考试,30,8,easy,4,4,4,4.0,REAL|FLEE|FORK|LIMP,否,否
cet4,大学四级,考试,31,8,easy,3,4,4,4.0,BAND|EACH|DUMB,否,否
cet4,大学四级,考试,32,8,easy,4,4,4,4.0,COIL|TEND|HEAL|SEED,否,否
cet4,大学四级,考试,33,8,easy,4,4,4,4.0,BELT|FLOW|WOLF|HALF,否,否
cet4,大学四级,考试,34,8,easy,4,3,4,3.8,BIT|BITE|BURY|YARD,否,否
cet4,大学四级,考试,35,8,easy,4,4,4,4.0,SIGH|FIRE|BILL|HIRE,否,否
cet4,大学四级,考试,36,8,easy,4,3,4,3.8,HALL|HOOK|LOSE|SEW,否,否
cet4,大学四级,考试,37,8,medium,6,4,6,4.5,MODERN|BOOM|DUCK|LEAP|CUBE|BRISK,否,否
cet4,大学四级,考试,38,8,medium,5,3,6,4.8,LATELY|BEARD|WAKEN|MANLY|FEE,否,否
cet4,大学四级,考试,39,8,medium,5,3,5,3.8,ASH|CITE|SPLIT|ODD|WELD,否,否
cet4,大学四级,考试,40,8,medium,5,3,6,4.6,PUMP|PASTE|TOAST|OWL|CLIENT,否,否
cet4,大学四级,考试,41,8,medium,7,3,6,4.1,BED|COLD|BOLD|HOST|GOODS|KEY|TREATY,否,否
cet4,大学四级,考试,42,8,medium,6,3,6,4.5,FEED|PERSON|TROOP|EYE|WORST|NAVY,否,否
cet4,大学四级,考试,43,8,medium,6,4,6,4.7,SILK|SALARY|KILL|NOBLE|BOIL|CLERK,否,否
cet4,大学四级,考试,44,8,medium,4,3,5,4.2,JOB|BOGUS|GRID|CHINA,否,否
cet4,大学四级,考试,45,8,medium,6,4,5,4.3,LEST|LOWER|SHED|BRAKE|ALLY|HOLY,否,否
cet4,大学四级,考试,46,8,hard,4,5,7,5.5,EXPLAIN|ASSET|DENSE|STRAP,否,否
cet4,大学四级,考试,47,8,hard,5,5,7,5.8,SULFUR|LEVEL|OCCUPY|CRUEL|DYNAMIC,否,否
cet4,大学四级,考试,48,8,hard,5,5,7,5.4,FLOAT|PUPIL|BIBLE|FAINT|UTILITY,否,否
cet4,大学四级,考试,49,8,hard,4,5,7,5.5,VERSION|FABLE|BRUSH|FUSSY,否,否
cet4,大学四级,考试,50,8,hard,5,5,7,6.6,PATIENT|MIXTURE|FREIGHT|NORTH|PRETEND,否,否
cet4,大学四级,考试,51,8,hard,6,5,6,5.3,SOLAR|COFFEE|EITHER|NOVEL|HABIT|NIECE,否,否
cet4,大学四级,考试,52,8,hard,6,5,6,5.3,STEADY|PARTY|RESORT|SCALE|STAIN|DRAFT,否,否
cet4,大学四级,考试,53,8,hard,4,5,7,5.8,PENALTY|CREATE|CLASS|FAITH,否,否
cet4,大学四级,考试,54,8,hard,7,5,7,5.4,MATTER|TENSE|CONFINE|WHALE|WHEAT|FLARE|MELON,否,否
cet4,大学四级,考试,55,9,easy,5,4,4,4.0,REAR|LEAD|MERE|EASE|DEAF,否,否
cet4,大学四级,考试,56,9,easy,5,3,4,3.8,SODA|DYE|HEIR|HARE|FARE,否,否
cet4,大学四级,考试,57,9,easy,3,3,4,3.7,GAS|GOAL|MANY,否,否
cet4,大学四级,考试,58,9,easy,5,4,4,4.0,GAZE|AREA|DIAL|PIPE|DULL,否,否
cet4,大学四级,考试,59,9,easy,4,3,4,3.5,LIP|LAG|CHIP|HUGE,否,否
cet4,大学四级,考试,60,9,easy,5,3,4,3.8,MIND|NET|UNDO|TUNE|SOAK,否,否
cet4,大学四级,考试,61,9,easy,5,3,4,3.8,FARM|WANT|BEER|BALL|MAN,否,否
cet4,大学四级,考试,62,9,easy,5,4,4,4.0,HINT|HILL|TIDE|INTO|GLAD,否,否
cet4,大学四级,考试,63,9,easy,5,3,4,3.8,SAIL|LEAK|CLAW|LOOK|SOW,否,否
cet4,大学四级,考试,64,9,medium,8,3,6,4.5,ZONE|STATUS|NICE|COURSE|CALM|QUIET|SUM|OVEN,否,否
cet4,大学四级,考试,65,9,medium,8,3,6,4.8,ONE|HOUSE|HUMOUR|EIGHTH|GERMAN|TRUTH|HEAD|CAN,否,否
cet4,大学四级,考试,66,9,medium,8,3,6,4.4,KEEN|BLACK|TRAP|EAGLE|HERO|RAW|CAMP|REMARK,否,否
cet4,大学四级,考试,67,9,medium,6,3,6,4.7,ART|RHYTHM|BOLT|BELOW|TWIST|FIGHT,否,否
cet4,大学四级,考试,68,9,medium,4,4,6,4.8,BUDGET|PLUS|PART|REFER,否,否
cet4,大学四级,考试,69,9,medium,8,4,6,5.0,CURL|CARPET|RAGE|LEND|DIVIDE|DAMPEN|WIDEN|PAPER,否,否
cet4,大学四级,考试,70,9,medium,8,3,6,5.0,WORTHY|OUT|ADAPT|ARREST|PEACE|RAPID|MADAM|DEVIL,否,否
cet4,大学四级,考试,71,9,medium,7,3,5,4.3,TALE|WAGE|WHEEL|HENCE|LIE|BOND|TEMPT,否,否
cet4,大学四级,考试,72,9,medium,7,4,6,5.3,TREND|DATE|REPEAT|PRAYER|GREAT|ROMAN|RATHER,否,否
cet4,大学四级,考试,73,9,hard,5,5,8,6.6,EMPHASIS|REVENUE|IMAGE|EMPLOYER|EQUAL,否,否
cet4,大学四级,考试,74,9,hard,6,5,8,6.2,CHOKE|DOCTORAL|ENEMY|DEATH|THEREBY|GREATLY,否,否
cet4,大学四级,考试,75,9,hard,6,5,8,6.5,BETWEEN|IDENTITY|ALARM|RECENT|REPLY|CONCRETE,否,否
cet4,大学四级,考试,76,9,hard,5,5,7,6.2,PILLAR|JOURNAL|SOLELY|DRAMA|JEALOUS,否,否
cet4,大学四级,考试,77,9,hard,5,5,6,5.2,REACH|RARELY|ORBIT|FRESH|BEING,否,否
cet4,大学四级,考试,78,9,hard,7,5,8,6.0,REJECT|LESSEN|BOUNDARY|DERIVE|CYCLE|CHAOS|COUNTY,否,否
cet4,大学四级,考试,79,9,hard,6,5,8,6.5,POWERFUL|EPISODE|ATHLETE|RECEIPT|WRIST|CARGO,否,否
cet4,大学四级,考试,80,9,hard,7,5,8,6.3,CHESS|COWARD|EXPOSURE|MARGIN|PIONEER|SHELL|ARCHIVE,否,否
cet4,大学四级,考试,81,9,hard,7,5,7,6.0,ROLLER|POSSESS|SESSION|CEMENT|FLOOR|EXERT|DESIGN,否,否
cet4,大学四级,考试,82,10,easy,5,3,4,3.8,COME|FACT|PALM|COW|VOLT,否,否
cet4,大学四级,考试,83,10,easy,5,3,4,3.8,RUDE|COMB|DAMP|PEA|SORE,否,否
cet4,大学四级,考试,84,10,easy,5,3,4,3.6,BUS|HATE|SEAL|HIDE|INK,否,否
cet4,大学四级,考试,85,10,easy,5,3,4,3.8,NEWS|SPIT|PAT|CORN|COAT,否,否
cet4,大学四级,考试,86,10,easy,5,3,4,3.6,CAT|ABLE|ACID|LICK|TOE,否,否
cet4,大学四级,考试,87,10,easy,5,3,4,3.6,BET|HERS|SWAY|WIRE|CRY,否,否
cet4,大学四级,考试,88,10,easy,4,2,4,3.5,NEST|WEEP|FLAT|AS,否,否
cet4,大学四级,考试,89,10,easy,5,4,4,4.0,VIEW|WRAP|POEM|PEAK|AWAY,否,否
cet4,大学四级,考试,90,10,easy,5,3,4,3.8,PINT|KISS|BOTH|HIT|MELT,否,否
cet4,大学四级,考试,91,10,medium,8,3,5,4.0,LIME|MEDIA|JUDGE|DENY|HEN|NAP|AGENT|DIP,否,否
cet4,大学四级,考试,92,10,medium,6,5,6,5.5,LADDER|VESSEL|REPAVE|EAGER|WEAVE|GRAND,否,否
cet4,大学四级,考试,93,10,medium,5,3,6,4.4,ASIA|PURSE|DETAIL|EVE|CHEW,否,否
cet4,大学四级,考试,94,10,medium,8,3,6,4.5,MARINE|CLEAN|GENE|RUG|STOOP|NIGHT|ORE|SPADE,否,否
cet4,大学四级,考试,95,10,medium,8,4,6,5.0,FEAR|BELONG|EXCUSE|BRAVE|AROUSE|KNOCK|HELP|EVIL,否,否
cet4,大学四级,考试,96,10,medium,8,3,6,4.5,FINAL|AGO|RACIAL|LOGIC|LEMON|GYM|BULB|ELBOW,否,否
cet4,大学四级,考试,97,10,medium,8,3,6,4.5,TASK|SAILOR|SEXUAL|RENEW|RID|SLIDE|FUR|PILL,否,否
cet4,大学四级,考试,98,10,medium,8,3,6,4.1,DONATE|DUST|FLU|FROM|BOMB|ADOPT|BEEF|EGG,否,否
cet4,大学四级,考试,99,10,medium,8,3,6,4.9,FLUENT|NAVAL|NOON|BOOST|BROOK|PANTS|NEW|BAKERY,否,否
cet4,大学四级,考试,100,10,hard,7,5,9,7.1,INDUCE|BESIDES|INFLUENCE|IMMOBILE|UPWARD|HORSE|ERRONEOUS,否,否
cet4,大学四级,考试,101,10,hard,6,5,8,6.3,TRAGEDY|TERRIBLY|ACCUSTOM|COUGH|METER|TRUST,否,否
cet4,大学四级,考试,102,10,hard,7,5,8,5.9,RACIALLY|REFUSE|REGARD|FALSE|TRIAL|EQUIP|CLOUDY,否,否
cet4,大学四级,考试,103,10,hard,8,5,8,5.8,EMPTY|POSSIBLE|SCOLD|DESPAIR|THREAD|NOISE|ENTRY|AWARE,否,否
cet4,大学四级,考试,104,10,hard,7,5,9,6.3,CIRCULATE|FATHER|INVADE|CASUAL|CIGAR|BRAIN|HEAVILY,否,否
cet4,大学四级,考试,105,10,hard,5,5,6,5.2,FINGER|SOLID|PLACE|AWAKE|BENCH,否,否
cet4,大学四级,考试,106,10,hard,7,5,8,6.1,SCARCE|CHAMBER|WEAPON|DECREASE|OUNCE|ACUTE|DEFEND,否,否
cet4,大学四级,考试,107,10,hard,8,5,8,6.1,FASHION|CRACK|DRAWER|BIRTH|BUBBLE|REFRAME|FRONT|REGISTER,否,否
cet4,大学四级,考试,108,10,hard,8,5,9,6.4,CHALLENGE|CAMERA|ENTRANCE|SURPASS|SWEAR|HEART|EVENT|SCRAPE,否,否
cet4,大学四级,考试,109,10,hard,8,5,8,5.9,SPECIMEN|MARXISM|MOTOR|RESIGN|PARDON|PAUSE|GLIDE|NYLON,否,否
cet4,大学四级,考试,110,10,hard,7,5,7,5.6,MISSILE|PIECE|MUSCLE|PITCH|COAST|AMUSE|CENTRE,否,否
cet4,大学四级,考试,111,10,hard,9,5,9,6.2,FIFTH|FRAGMENT|PORTABLE|AUDIO|OPERA|DEPRESSED|PRESS|SAINT|AUTHOR,否,否
cet4,大学四级,考试,112,10,hard,9,5,7,6.0,ASHAMED|MERRY|DISTANT|HOWEVER|VERIFY|JUSTICE|BRUTE|RADIO|CHEST,否,否
cet4,大学四级,考试,113,10,hard,9,5,7,5.7,UPPER|PLANET|HEAVE|HARNESS|VITAMIN|FANCY|CATTLE|VAGUE|ANNOY,否,否
cet4,大学四级,考试,114,10,hard,7,5,7,5.9,SOMEHOW|WORKMAN|LUNCH|COMFORT|SHOCK|SHIFT|CHIEF,否,否
cet4,大学四级,考试,115,10,hard,5,5,9,6.4,INSTITUTE|BRUISE|ANGER|ISSUE|DECLARE,否,否
cet4,大学四级,考试,116,10,hard,6,5,7,6.2,CONVICT|COMRADE|TREMBLE|ROUSE|STOCK|LOVELY,否,否
cet4,大学四级,考试,117,10,hard,5,5,7,5.8,FARTHER|HALFWAY|UPSET|SHEAR|FAIRY,否,否
cet4,大学四级,考试,118,10,hard,6,5,8,6.5,AMPLIFY|ALMOST|MAINTAIN|ISLAND|LEVER|UNIFORM,否,否
cet4,大学四级,考试,119,10,hard,7,5,9,7.0,PRODUCE|UNIVERSAL|AFTERWARD|FLOURISH|HURRY|ERECT|COARSE,否,否
cet4,大学四级,考试,120,10,hard,6,5,8,5.8,LOYAL|ANNOUNCE|HANDY|HEADING|ALBUM|DECAY,否,否
cet4,大学四级,考试,121,10,hard,3,5,5,5.0,DRAIN|ANGRY|VIRUS,否,否
cet4,大学四级,考试,122,10,hard,8,5,8,6.0,TRIANGLE|ENGINEER|PHONE|DEDUCE|HAZARD|BROAD|HASTE|NEGRO,否,否
cet4,大学四级,考试,123,10,hard,8,5,8,5.6,EXPOSE|RADAR|DOMESTIC|RAINY|POUND|DIVINE|JOINT|SLAVE,否,否
cet4,大学四级,考试,124,10,hard,7,5,9,6.0,REGARDING|STATUE|ANSWER|FORBID|RANGE|PLATE|BRING,否,否
cet4,大学四级,考试,125,10,hard,7,5,9,7.0,ARGUMENT|INVEST|FOOTSTEP|AMERICAN|INPUT|AFTER|EXCEPTION,否,否
cet4,大学四级,考试,126,10,hard,8,5,7,6.1,AFRAID|SPITE|TRIGGER|CLINIC|VETERAN|RELIEF|NEEDY|CHARTER,否,否
cet4,大学四级,考试,127,10,hard,5,5,8,6.4,PARALLEL|MATURE|HINDER|TRICK|CRUCIAL,否,否
cet4,大学四级,考试,128,10,hard,8,5,9,6.8,NECESSARY|NASTY|SINGULAR|ACCESS|REPAIR|DONKEY|NERVE|CURIOSITY,否,否
cet4,大学四级,考试,129,10,hard,6,5,9,7.0,ARTIST|REPORTER|SWING|ASSOCIATE|ROUGH|BROADCAST,否,否
cet4,大学四级,考试,130,10,hard,8,5,7,5.9,MINIMUM|MESSAGE|STEAL|WEALTH|UNLESS|GRAIN|EXTENT|MOUSE,否,否
cet4,大学四级,考试,131,10,hard,8,5,9,6.4,EXCITE|ELEGANT|CARPENTER|ACCEPT|CRUDE|COMPEL|TRADE|FEDERAL,否,否
cet4,大学四级,考试,132,10,hard,7,5,8,6.3,FESTIVAL|ACCIDENT|GREEDY|LIABLE|FRUIT|RAISE|INSECT,否,否
cet4,大学四级,考试,133,10,hard,6,5,7,5.7,NUMBER|GROUP|GRAPH|PRONOUN|BLANK|ROTTEN,否,否
cet4,大学四级,考试,134,10,hard,6,5,8,5.7,REACTION|VIRTUE|BURST|WATER|TOPIC|UNITY,否,否
cet4,大学四级,考试,135,10,hard,6,5,9,6.3,ORNAMENT|MECHANICS|THUMB|SORROW|WORTH|FROWN,否,否
cet4,大学四级,考试,136,10,hard,6,5,8,6.5,GLASS|GASOLINE|PRESENT|STOVE|AIRLINE|CURRENT,否,否
cet4,大学四级,考试,137,10,hard,7,5,5,5.0,AVOID|FROST|PHOTO|BLOOD|OTHER|HARSH|APPLE,否,否
cet4,大学四级,考试,138,10,hard,6,5,8,6.0,GRANT|FRIEND|NUMEROUS|DIARY|EARTH|THUNDER,否,否
cet4,大学四级,考试,139,10,hard,8,5,8,6.5,INFLATE|FORECAST|ASSEMBLE|LEADING|MEMBER|ESSAY|ABOUT|HEAVEN,否,否
cet4,大学四级,考试,140,10,hard,6,5,8,6.8,INDOOR|CREATIVE|EVERYONE|DELETE|POINT|JAPANESE,否,否
cet4,大学四级,考试,141,10,hard,6,5,7,5.5,BASIN|BOARD|DENTAL|BREED|UTTER|WILLING,否,否
cet4,大学四级,考试,142,10,hard,7,5,8,6.1,AVENUE|EFFECT|LEISURE|TRAIL|INNER|JUNIOR|RECORDER,否,否
cet4,大学四级,考试,143,10,hard,7,5,8,7.1,ABUNDANT|AIRPORT|APPROACH|PROSPECT|LEARNED|DREAM|ENHANCE,否,否
cet4,大学四级,考试,144,10,hard,6,5,8,6.3,DECEIVE|PATIENCE|TOILET|GRADUAL|METAL|SPRAY,否,否
cet4,大学四级,考试,145,10,hard,7,5,9,6.4,ESTEEM|EMBARRASS|BREATH|MARCH|CREAM|LIGHTEN|EXAMPLE,否,否
cet4,大学四级,考试,146,10,hard,7,5,7,5.6,CLIMATE|RECALL|CLOSE|OCCUR|ASIDE|UNITE|NEPHEW,否,否
cet4,大学四级,考试,147,10,hard,5,5,6,5.4,DEMAND|INFER|WHOLLY|CROWD|EXILE,否,否
cet4,大学四级,考试,148,10,hard,7,5,7,5.7,BOUND|BETRAY|TIMBER|BREADTH|CHEAT|GAUGE|MOTHER,否,否
cet4,大学四级,考试,149,10,hard,6,5,8,6.5,LITTLE|MISGUIDE|TYPICAL|GESTURE|LUCKY|DRIVER,否,否
cet4,大学四级,考试,150,10,hard,9,5,9,6.8,HUNDRED|DANCE|RELIGIOUS|FORTUNE|RELIGION|COUNSEL|IDIOM|WITNESS|SILENT,否,否
cet4,大学四级,考试,151,10,hard,5,5,5,5.0,ALOUD|WAGON|URBAN|CHEAP|MOUTH,否,否
cet4,大学四级,考试,152,10,hard,7,5,8,5.6,ORGANISM|ODOUR|GUESS|PORTER|BLESS|SPOIL|FEAST,否,否
cet4,大学四级,考试,153,10,hard,7,5,8,6.4,DAYLIGHT|GUARD|ATTAIN|TAKEOFF|NEUTRAL|AWFULLY|OFTEN,否,否
cet4,大学四级,考试,154,10,hard,5,5,8,6.6,APPROVE|FUNNY|EXCITING|JOLLY|ELECTION,否,否
cet4,大学四级,考试,155,10,hard,7,5,9,6.4,TROPICAL|CREEP|GENERATOR|PLUNGE|COURT|STAFF|ELDERLY,否,否
cet4,大学四级,考试,156,10,hard,7,5,9,7.0,KEYBOARD|DESPERATE|ENTER|CAUTIOUS|OWNER|PRIVATE|WHEREAS,否,否
cet4,大学四级,考试,157,10,hard,6,5,9,7.0,UNLOAD|HEADACHE|HOSTILE|EDITORIAL|BUILD|RESPECT,否,否
cet4,大学四级,考试,158,10,hard,5,5,8,5.8,LOCATION|DELAY|CREDIT|TRASH|NURSE,否,否
cet4,大学四级,考试,159,10,hard,7,5,7,5.9,UNUSUAL|MANAGER|MIDDAY|FIFTY|PRINT|ALERT|MONDAY,否,否
cet4,大学四级,考试,160,10,hard,7,5,9,6.6,PROJECT|TEENAGER|BOTTOM|ROUTE|UNREST|TUTOR|YOUNGSTER,否,否
cet4,大学四级,考试,161,10,hard,6,5,7,6.0,HELPFUL|PENSION|CLASH|MARBLE|ANNUAL|BLOOM,否,否
cet4,大学四级,考试,162,10,hard,4,5,5,5.0,FLESH|MAYBE|GRAVE|GLOBE,否,否
cet4,大学四级,考试,163,10,hard,7,5,9,7.1,AIRPLANE|PHYSICIAN|POETRY|FARMER|HEAVY|MAGNETIC|RIGOROUS,否,否
cet4,大学四级,考试,164,10,hard,6,5,9,6.3,NEWSSTAND|SUPERB|CRANE|PERCENT|ADMIT|DANGER,否,否
cet4,大学四级,考试,165,10,hard,5,5,8,6.4,CHICKEN|INDICATE|INDEED|CLOCK|MUTTER,否,否
cet4,大学四级,考试,166,10,hard,7,5,7,6.0,SAMPLE|PARTLY|PEPPER|BRITTLE|SILVER|PICKY|ESTATE,否,否
cet4,大学四级,考试,167,10,hard,5,5,8,6.4,FEARFUL|FEEDBACK|FRENCH|HONEST|LARGE,否,否
cet4,大学四级,考试,168,10,hard,4,5,5,5.0,LEGAL|SCARE|STUFF|AGAIN,否,否
cet4,大学四级,考试,169,10,hard,3,5,5,5.0,FLOCK|GROSS|ALTER,否,否
cet4,大学四级,考试,170,10,hard,6,5,9,6.0,ROCKET|GRIEVE|QUEUE|QUOTE|GRACE|RECOGNIZE,否,否
cet4,大学四级,考试,171,10,hard,5,5,6,5.6,QUICK|SEVERE|TARGET|RENTAL|CHEER,否,否
cet4,大学四级,考试,172,10,hard,6,5,9,7.0,MACHINERY|PASSENGER|REWARD|CHAIR|MEETING|BARELY,否,否
cet4,大学四级,考试,173,10,hard,8,5,9,6.2,AMPERE|PREVAIL|OPPONENT|EIGHT|FOCUS|ARROW|COLLISION|STIFF,否,否
cet4,大学四级,考试,174,10,hard,8,5,8,6.4,DISCUSS|CANDLE|TRANSFER|ENLARGE|COMMON|DOZEN|REMEDY|INSURE,否,否
cet4,大学四级,考试,175,10,hard,7,5,7,6.0,HEARING|RIFLE|ACADEMY|STEAM|SERVE|MARXIST|REPORT,否,否
cet4,大学四级,考试,176,10,hard,5,5,9,7.6,ESSENTIAL|EMERGENCE|RELEVANT|BREAK|SPECIES,否,否
cet4,大学四级,考试,177,10,hard,6,5,9,5.8,PRINCIPLE|HATRED|BACON|ALLOW|DRILL|JUICE,否,否
cet4,大学四级,考试,178,10,hard,6,5,8,6.0,BOTTLE|BEACH|INHERIT|GOOSE|OBSTACLE|QUEEN,否,否
cet4,大学四级,考试,179,10,hard,5,5,8,5.6,ACTIVITY|CLOAK|TITLE|BOUGH|CHEEK,否,否
cet4,大学四级,考试,180,10,hard,5,5,8,6.8,BENEATH|PASSAGE|SHORTLY|VIDEO|FOOTHOLD,否,否
cet4,大学四级,考试,181,10,hard,8,5,7,5.9,SOUND|ENROLL|RETAIN|REFLECT|FAVOR|NINTH|GENTLE|TRIUMPH,否,否
cet4,大学四级,考试,182,10,hard,6,5,9,6.5,PRIMARILY|DRAWING|GOLDEN|FICTION|TRACK|ONION,否,否
cet4,大学四级,考试,183,10,hard,6,5,9,7.2,INCIDENT|GUILTY|LAUGHTER|FACULTY|TORCH|THICKNESS,否,否
cet4,大学四级,考试,184,10,hard,9,5,8,6.3,IMPRISON|OVERCOAT|FABRIC|REMOTE|OFFER|PRISON|FRAME|CLASP|INSTRUCT,否,否
cet4,大学四级,考试,185,10,hard,7,5,9,6.3,GREEN|EMOTIONAL|PARENT|CHEMIST|HISTORY|WOUND|LEAVE,否,否
cet4,大学四级,考试,186,10,hard,8,5,9,6.5,CHRIST|CHRISTMAS|SECURITY|MARKET|RETREAT|LAYOUT|IDEAL|FORGE,否,否
cet4,大学四级,考试,187,10,hard,7,5,9,6.4,EXPERT|POSTMAN|FORMATION|BATTLE|DIGEST|GIANT|OUTLET,否,否
cet4,大学四级,考试,188,10,hard,7,5,8,6.3,PURPLE|PLASTIC|FOREHEAD|RATIO|BOOTH|ADVOCATE|SHADE,否,否
cet4,大学四级,考试,189,10,hard,8,5,8,6.1,SLICE|STEAMER|ELEVATOR|TELEGRAM|TOUGH|SUNSET|HONEY|MIDST,否,否
cet4,大学四级,考试,190,10,hard,5,5,8,6.8,GLOBAL|AUDIENCE|ABRUPTLY|HUMAN|CEILING,否,否
cet4,大学四级,考试,191,10,hard,6,5,9,7.0,SOLICITOR|CERTAINLY|LONELY|CRIME|CARRY|ORIENTAL,否,否
cet4,大学四级,考试,192,10,hard,3,5,5,5.0,ASIAN|LORRY|SHOOT,否,否
cet4,大学四级,考试,193,10,hard,7,5,9,6.9,OBJECTION|OPERATOR|PASSIVE|SAUCER|BRANDY|PATCH|DISCARD,否,否
cet4,大学四级,考试,194,10,hard,7,5,9,6.9,JUNGLE|PRODUCT|STAIR|PROCESS|PHASE|SKYROCKET|HAPPINESS,否,否
cet4,大学四级,考试,195,10,hard,6,5,8,6.5,ALWAYS|PROPERTY|CUSTOMER|SURPLUS|SWEEP|MERIT,否,否
cet4,大学四级,考试,196,10,hard,7,5,8,6.3,ACCURATE|SKETCH|REQUEST|ENRICH|TUNNEL|DREAD|WICKED,否,否
cet4,大学四级,考试,197,10,hard,7,5,7,6.1,VANISH|ARTICLE|SHIELD|ADVERB|CIRCUIT|TRAIT|BESIDE,否,否
cet4,大学四级,考试,198,10,hard,7,5,9,5.7,BEFORE|SAUCE|COUNT|FRANK|MATHS|FLASH|NORTHWEST,否,否
cet4,大学四级,考试,199,10,hard,6,5,8,6.5,DOLLAR|DISTANCE|OFFEND|FOREVER|DESCEND|TRACE,否,否
cet4,大学四级,考试,200,10,hard,7,5,9,6.4,VICTIM|FINANCIAL|SPARE|REFUEL|FIELD|MUSIC|UNDERLINE,否,否
cet4,大学四级,考试,201,10,hard,6,5,5,5.0,BRIDE|HUMID|MEANS|FEVER|FETCH|CEASE,否,否
cet4,大学四级,考试,202,10,hard,5,5,7,6.2,CLEARLY|REQUIRE|BOAST|VALID|FIFTEEN,否,否
cet4,大学四级,考试,203,10,hard,6,5,7,5.7,LOCATE|CRUST|STADIUM|LASER|JAPAN|CINEMA,否,否
cet4,大学四级,考试,204,10,hard,6,5,7,5.8,LABEL|CAPITAL|COMBAT|PLENTY|CARVE|CLUMSY,否,否
cet4,大学四级,考试,205,10,hard,7,5,7,5.9,ANYONE|BUTTER|CRUELTY|CRISIS|CHECK|CLOTH|INTEND,否,否
cet4,大学四级,考试,206,10,hard,6,5,7,6.2,POPULAR|OPERATE|AFFIRM|ABSENT|BLIND|MODEST,否,否
cet4,大学四级,考试,207,10,hard,5,5,9,6.8,DISPOSAL|GUEST|SUSTAIN|BOSOM|POLICEMAN,否,否
cet4,大学四级,考试,208,10,hard,6,5,7,5.8,INFANT|DIRECT|FLUID|LANTERN|CABIN|GALLON,否,否
cet4,大学四级,考试,209,10,hard,9,5,8,6.4,FRACTION|OPTION|CONSENT|CURSE|WRITING|MOTIVE|CROWN|DECISION|BREAST,否,否
cet4,大学四级,考试,210,10,hard,7,5,9,6.3,STORAGE|ORANGE|EXPLOIT|GRASS|CLEAR|FLEET|WORLDWIDE,否,否
cet4,大学四级,考试,211,10,hard,7,5,8,6.4,EXPLODE|PLAIN|CAPTIVE|MONEY|EXIST|UNLIKELY|ALTITUDE,否,否
